loss,corrupt,original,original_ci,retransmit,retransmit_ci,ack,ack_ci,corrupt,corrupt_ci,rtt,rtt_ci,performance,performance_ci,delay,delay_ci,goodput,goodput_ci,tput,tput_ci
0,0,1000,0,0,0,999.9333333,0.076197314,0,0,11.90269907,0.061559352,11.90269907,0.061559352,0,0,7.962501059,0.044725837,12.74339251,0.071434257
0.1,0,999.8666667,0.152394628,401.7,18.54762707,1261.833333,13.87381981,0,0,13.84645507,0.247823531,28.12349148,1.515328497,1.446108276,0.545702371,7.948580445,0.043269585,16.08210473,0.205587536
0.2,0,985.2,7.993872828,1610.5,92.6148971,2076.766667,67.09399648,0,0,30.14201789,2.685327916,114.7190081,9.21311957,211.0803793,65.7997446,7.811735246,0.079613155,26.49458435,0.940273698
0.3,0,780.6333333,14.5843338,2607.7,20.8660256,2376.8,16.79511971,0,0,44.64087347,1.954992519,201.8130662,3.694250959,2241.063566,151.1731865,6.151469027,0.107638427,30.28160725,0.156159073
0.4,0,614.7333333,12.37756622,3224.833333,23.69305255,2300.9,13.99952912,0,0,41.47720158,3.932909214,260.1690271,5.970519705,3898.705781,134.491001,4.832182519,0.100381732,29.316781,0.152531347
0.5,0,516.2333333,9.84781589,3946.5,26.97755612,2240.2,13.85235194,0,0,Infinity,NaN,310.8284497,5.807290971,4832.989101,88.10237027,4.046743627,0.074502796,28.54099321,0.103082036
0.6,0,416.7666667,6.922170556,4810.533333,34.22212033,2091.533333,14.04663655,0,0,Infinity,NaN,385.8936902,6.076556035,5821.737707,88.71429776,3.25433738,0.049271815,26.64672364,0.113859265
0.7,0,323.4333333,5.674754441,5786.4,39.45742995,1837.1,12.59390114,0,0,Infinity,NaN,501.8110384,9.566304331,6735.780206,76.92196472,2.512527382,0.047432685,23.40496362,0.100396372
0.8,0,220.6666667,4.490380276,6814.333333,42.66276846,1409.033333,11.35765905,0,0,Infinity,NaN,740.0128366,15.38840496,7796.260398,63.42702975,1.693582189,0.035684643,17.95185527,0.117594858
0.9,0,113.2666667,3.105115671,7667.533333,42.31948721,776.5333333,7.429335797,0,0,Infinity,NaN,1467.028635,46.76750278,8860.85465,69.72023442,0.839018802,0.026904365,9.895033451,0.098203257
